,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원
1,MSI 모던시리즈 모던 14 C7M-R5,"548,990",노트북,미포함(프리도스),"['35.5cm(14인치)', '/', '1920x1080(FHD)', '/', '300nit', '/']","['AMD', '/', '라이젠5(Zen3)', '/ 7530U (2.0Hz) /', '헥사(6)코어', '/']","['DDR4(온보드)', '/', '램 용량', ':', '8GB', '/', '3200MHz', '/ 램 교체: 불가능 /']",['내장그래픽 / Radeon Graphics /'],"['M.2(NVMe)', '/', '512GB', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 / MicroSD카드 /'],"['USB-PD', '/ 리프트 힌지 /']","['키보드 라이트', '/', 'ㅗ형 방향키', '/']","['배터리', ':', '39.3Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '19.35mm', '/', '무게', ':', '1.4kg', '/ 색상: 블랙']"
2,한성컴퓨터 Bossmonster GTX63 T9X6Q16,"1,795,000",노트북,미포함(프리도스),"['40.64cm(16인치)', '/', '2560x1600(WQXGA)', '/', '500nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13900HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '500GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.0', '/', 'mini DP', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /']",,"['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '73Wh', '/', '어댑터', ':', '280W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '27.8mm', '/', '무게', ':', '2.5kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
3,삼성전자 갤럭시북2 NT550XEZ-A58A 16GB램,"673,790",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/']","['인텔', '/', '코어i5-12세대', '/', 'i5-1235U (1.3GHz)', '/', '10코어(2P+8E)', '/']","['DDR4', '/', '램 용량', ':', '16GB', '/ 램 교체: 가능 /']",['내장그래픽 / UHD Graphics /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 2개 / USB-A: 2개 / MicroSD카드 /'],"['TPM', '/', 'USB-PD', '/']","['ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '43Wh', '/', '어댑터', ':', '45W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '18.5mm', '/', '무게', ':', '1.8kg', '/ 색상: 실버, 그라파이트']"
4,한성컴퓨터 TFG6397,"2,290,000",노트북,미포함(프리도스),"['40.64cm(16인치)', '/', '2560x1600(WQXGA)', '/', '500nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13900HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4070', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '500GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /'],"['HDMI 2.1', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-A: 3개 / SD카드 /']","['얼굴 인식', '/', 'DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '97.5Wh', '/', '어댑터', ':', '330W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '31mm', '/', '무게', ':', '2.6kg', '/ 쿨링팬: 2개 / 색상: 화이트']"
5,에이서 스위프트 GO 16 OLED SFG16-71-51BY,"998,990",노트북,미포함(프리도스),"['40.8cm(16인치)', '/', '3200x2000(WQHD+)', '/', '500nit', '/', '주사율', ':', '120Hz', '/']","['인텔', '/', '코어i5-13세대', '/', 'i5-13420H (2.1GHz)', '/', '옥타코어(4P+4E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/ 램 교체: 불가능 /']",['내장그래픽 / UHD Graphics /'],"['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI 2.1', '/ 웹캠(QHD) /']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']",['지문인식(전원버튼) /'],"['키보드 라이트', '/', 'ㅡ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '50Wh', '/', '어댑터', ':', '100W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '14.9mm', '/', '무게', ':', '1.6kg', '/ 쿨링팬: 2개 / 색상: 그레이']"
6,한성컴퓨터 Bossmonster GTX73 N9X6Q24,"1,788,000",노트북,미포함(프리도스),"['43.94cm(17.3인치)', '/', '2560x1440(QHD)', '/', '300nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13900HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '500GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.0', '/', 'mini DP', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /']","['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '73Wh', '/', '어댑터', ':', '280W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '27.8mm', '/', '무게', ':', '2.8kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
7,MSI GF시리즈 Sword GF76 B13VFK,"1,499,000",노트북,미포함(프리도스),"['43.9cm(17.3인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-13620H (2.4GHz)', '/', '10코어(6P+4E)', '/']","['DDR5', '/', '램 용량', ':', '16GB', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '105W', '/', 'VRAM:8GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 /'],"['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.5Wh', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '25.2mm', '/', '무게', ':', '2.6kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
8,레노버 요가 Slim7 ProX 14IAH7 82TK009TKR,"1,440,000",노트북,미포함(프리도스),"['36.8cm(14.5인치)', '/', '3072x1920', '/', '400nit', '/', '주사율', ':', '120Hz', '/']","['인텔', '/', '코어i5-12세대', '/', 'i5-12500H (2.5GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/', '5200MHz', '/ 램 교체: 불가능 /']","['외장그래픽 /', 'RTX3050', '/', 'VRAM:4GB', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '1개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI 2.0', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 1개 /']","['얼굴 인식', '/ 웹캠OFF 지원 /', '고속충전', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅡ형 방향키', '/']","['배터리', ':', '70Wh', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '15.9mm', '/', '무게', ':', '1.45kg', '/ 쿨링팬: 2개 / 색상: 그레이']"
9,MSI 사이보그 15 A12VF,"1,344,000",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-12650H (2.3GHz)', '/', '10코어(6P+4E)', '/']","['DDR5', '/', '램 용량', ':', '8GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '45W', '/', 'VRAM:8GB', '/']","['M.2(NVMe)', '/', '512GB', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 2개 /'],"['DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.5Wh', '/', '어댑터', ':', '120W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '22.9mm', '/', '무게', ':', '1.98kg', '/ 색상: 블랙']"
10,LG전자 2022 그램16(12세대) 16ZD95Q-GX56K WIN11,"1,297,290",노트북,윈도우11(설치),"['40.6cm(16인치)', '/', '2560x1600(WQXGA)', '/', '350nit', '/']","['인텔', '/', '코어i5-12세대', '/', 'i5-1235U (1.3GHz)', '/', '10코어(2P+8E)', '/']","['LPDDR4x(온보드) /', '램 용량', ':', '16GB', '/', '4266MHz', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI 2.0', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']","['지문 인식', '/', 'USB-PD', '/', 'MIL-STD', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '80Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '16.8mm', '/', '무게', ':', '1.199kg', '/ 색상: 화이트']"
11,에이서 프레데터 Helios Neo 16 PHN16-71 4060,"1,790,000",노트북,미포함(프리도스),"['40.8cm(16인치)', '/', '2560x1600(WQXGA)', '/', '500nit', '/', '주사율', ':', '165Hz', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-13700HX (2.1GHz)', '/ 16코어(8P+8E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 3개 / MicroSD카드 /']","['USB-PD', '/', 'DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '90Wh', '/', '어댑터', ':', '330W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '28mm', '/', '무게', ':', '2.6kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
12,삼성전자 갤럭시북2 NT550XEZ-A38A,"569,990",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/']","['인텔', '/', '코어i3-12세대', '/', 'i3-1215U (1.2GHz)', '/', '헥사코어(2P+4E)', '/']","['DDR4', '/', '램 용량', ':', '8GB', '/ 램 교체: 가능 /']",['내장그래픽 / UHD Graphics /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 2개 / USB-A: 2개 / MicroSD카드 /'],"['TPM', '/', 'USB-PD', '/']","['ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '43Wh', '/', '어댑터', ':', '45W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '18.5mm', '/', '무게', ':', '1.8kg', '/ 색상: 실버']"
13,한성컴퓨터 Bossmonster GTX73 N9X7Q24,"2,090,000",노트북,미포함(프리도스),"['43.94cm(17.3인치)', '/', '2560x1440(QHD)', '/', '300nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13900HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4070', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '500GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.0', '/', 'mini DP', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /']","['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '73Wh', '/', '어댑터', ':', '280W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '27.8mm', '/', '무게', ':', '2.8kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
14,삼성전자 갤럭시북3 프로 NT940XFG-KD72G,"2,299,000",노트북,윈도우11홈,"['35.6cm(14인치)', '/', '2880x1800(WQXGA+)', '/', '400nit', '/', '주사율', ':', '120Hz', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-1360P (2.2GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '32GB', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '1TB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 1개 / MicroSD카드 /']","['지문인식(전원버튼) /', 'TPM', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/']","['배터리', ':', '63Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '11.3mm', '/', '무게', ':', '1.17kg', '/ 색상: 그라파이트']"
15,삼성전자 갤럭시북2 프로 NT950XEE-X71A,"1,699,000",노트북,윈도우11홈,"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-1260P (2.1GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/ 램 교체: 불가능 /']","['외장그래픽 /', 'Arc A350M', '/', 'VRAM:4GB', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-C: 1개 / USB-A: 1개 / MicroSD카드 /']","['지문 인식', '/', 'TPM', '/', 'USB-PD', '/', 'MIL-STD', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '68Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '13.3mm', '/', '무게', ':', '1.17kg', '/ 색상: 그라파이트']"
16,MSI 사이보그 15 A12VF WIN11 32GB램,"1,337,290",노트북,윈도우11(설치),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-12650H (2.3GHz)', '/', '10코어(6P+4E)', '/']","['DDR5', '/', '램 용량', ':', '32GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '45W', '/', 'VRAM:8GB', '/']","['M.2(NVMe)', '/', '512GB', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 2개 /'],"['DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.5Wh', '/', '어댑터', ':', '120W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '22.9mm', '/', '무게', ':', '1.98kg', '/ 색상: 블랙']"
17,MSI GP시리즈 Vector GP66 12UEO QHD OLED WIN11 16GB램,"1,193,080",노트북,윈도우11(설치),"['39.6cm(15.6인치)', '/', '2560x1440(QHD)', '/', '400nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-12650H (2.3GHz)', '/', '10코어(6P+4E)', '/']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX3060', '/', 'TGP', ':', '140W', '/', 'VRAM:6GB', '/', '논 옵티머스', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI', '/', 'mini DP', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 /'],"['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/']","['배터리', ':', '65Wh', '/', '어댑터', ':', '240W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '23.4mm', '/', '무게', ':', '2.38kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
18,에이서 프레데터 Helios 18 PH18-71 4070,"2,690,000",노트북,미포함(프리도스),"['45.72cm(18인치)', '/', '2560x1600(WQXGA)', '/', '300nit', '/', '주사율', ':', '165Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13900HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4070', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/', '논 옵티머스', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 3개 / MicroSD카드 /']","['USB-PD', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '90Wh', '/', '어댑터', ':', '330W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '29.15mm', '/', '무게', ':', '3.16kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
19,ASUS ROG STRIX G18 G814JV-N5002,"2,149,000",노트북,미포함(프리도스),"['45.72cm(18인치)', '/', '1920x1200(WUXGA)', '/', '300nit', '/', '주사율', ':', '165Hz', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-13650HX (2.6GHz)', '/ 14코어(6P+8E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-C: 1개 / USB-A: 2개 /']","['TPM', '/', '고속충전', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '90Wh', '/', '어댑터', ':', '280W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '30.08mm', '/', '무게', ':', '3kg', '/ 쿨링팬: 3개 / 색상: 그레이']"
20,삼성전자 갤럭시북3 프로 NT940XFT-A51A,"1,496,790",노트북,미포함(프리도스),"['35.6cm(14인치)', '/', '2880x1800(WQXGA+)', '/', '400nit', '/', '주사율', ':', '120Hz', '/']","['인텔', '/', '코어i5-13세대', '/', 'i5-1340P (1.9GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 1개 / MicroSD카드 /']","['지문인식(전원버튼) /', 'TPM', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/']","['배터리', ':', '63Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '11.3mm', '/', '무게', ':', '1.17kg', '/ 색상: 베이지, 그라파이트']"
21,삼성전자 갤럭시북3 NT750XFT-A71A,"1,249,000",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-1355U (1.7GHz)', '/', '10코어(2P+8E)', '/']","['LPDDR4x(온보드) /', '램 용량', ':', '16GB', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 2개 / USB-A: 2개 / MicroSD카드 /'],"['TPM', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '54Wh', '/', '어댑터', ':', '45W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '15.4mm', '/', '무게', ':', '1.57kg', '/ 색상: 그라파이트']"
22,LG전자 2023 울트라PC 15UD40R-GX36K 16GB램,"544,750",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/']","['AMD', '/', '라이젠3(Zen3)', '/ 7330U (2.3Hz) /', '쿼드(4)코어', '/']","['DDR4', '/', '램 용량', ':', '16GB', '/', '3200MHz', '/ 램 교체: 가능 /']",['내장그래픽 / Radeon Graphics /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 2개 / MicroSD카드 /'],,"['ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '49Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '19.1mm', '/', '무게', ':', '1.75kg', '/ 색상: 화이트']"
